,Unnamed: 0,Filenames,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
36,36,005567.jpg,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
37,37,000301.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
38,38,003288.jpg,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
39,39,009564.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
40,40,007202.jpg,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
41,41,008824.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
42,42,000718.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,43,007918.jpg,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
44,44,006573.jpg,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0
45,45,009158.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,46,001296.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
47,47,003617.jpg,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
48,48,007476.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
49,49,007651.jpg,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
50,50,005866.jpg,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1
51,51,006537.jpg,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
52,52,006406.jpg,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
53,53,001282.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
54,54,003955.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
55,55,004399.jpg,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
56,56,001774.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,57,005833.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
58,58,004703.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,59,008903.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
60,60,007264.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,008412.jpg,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
62,62,000074.jpg,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
63,63,009442.jpg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
64,64,006414.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,65,000258.jpg,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1
66,66,002999.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
67,67,006590.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
68,68,004853.jpg,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
69,69,002484.jpg,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,008290.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,008266.jpg,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
72,72,005080.jpg,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
73,73,006686.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,74,009838.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,007228.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,007455.jpg,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
77,77,001731.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
78,78,008721.jpg,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
79,79,003680.jpg,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
80,80,004313.jpg,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81,81,001180.jpg,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
82,82,009750.jpg,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,83,008148.jpg,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0
84,84,006807.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,003043.jpg,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
86,86,004717.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
87,87,003800.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,88,006505.jpg,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
89,89,006423.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,004248.jpg,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
91,91,002756.jpg,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
92,92,008113.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
93,93,002100.jpg,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
94,94,004184.jpg,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
95,95,001038.jpg,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1
96,96,003958.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,97,006142.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
98,98,002968.jpg,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
99,99,001155.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,005105.jpg,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
101,101,003241.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,102,008143.jpg,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
103,103,005795.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
104,104,007714.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
105,105,009657.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
106,106,003482.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
107,107,000924.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
108,108,003951.jpg,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
109,109,003383.jpg,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
110,110,005976.jpg,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,111,006217.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
112,112,001558.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
113,113,002790.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
114,114,007771.jpg,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
115,115,003342.jpg,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
116,116,008520.jpg,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1
117,117,002457.jpg,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
118,118,001376.jpg,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
119,119,003822.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
120,120,002581.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,121,009811.jpg,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0
122,122,004639.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
123,123,009728.jpg,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0
124,124,006616.jpg,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
125,125,004045.jpg,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
126,126,005827.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,127,006527.jpg,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
128,128,004970.jpg,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
129,129,009216.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
130,130,005974.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
131,131,000883.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
132,132,005484.jpg,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
133,133,000388.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
134,134,003234.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
135,135,000212.jpg,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
136,136,003226.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
137,137,000432.jpg,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
138,138,009046.jpg,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
139,139,003329.jpg,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
140,140,004621.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
141,141,003220.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,008047.jpg,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
143,143,005333.jpg,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
144,144,006090.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
145,145,000562.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
146,146,005432.jpg,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,147,008436.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
148,148,002087.jpg,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
149,149,002426.jpg,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
150,150,004320.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
151,151,003030.jpg,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1
152,152,005255.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,153,007807.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,154,008758.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,155,000587.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
156,156,000488.jpg,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
157,157,009109.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
158,158,008895.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
159,159,006059.jpg,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
160,160,004728.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
161,161,000840.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
162,162,001635.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
163,163,008597.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,164,005617.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,165,009624.jpg,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
166,166,004408.jpg,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1
167,167,001923.jpg,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
168,168,008844.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
169,169,008255.jpg,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
170,170,002432.jpg,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
171,171,007574.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
172,172,008566.jpg,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
173,173,008937.jpg,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,001846.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
175,175,000781.jpg,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,176,004613.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
177,177,005271.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
178,178,005357.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
179,179,005753.jpg,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
180,180,006567.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
181,181,001591.jpg,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1
182,182,002927.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
183,183,005770.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
184,184,006526.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
185,185,002159.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
186,186,000397.jpg,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
187,187,005204.jpg,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,009888.jpg,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
189,189,009474.jpg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
190,190,007061.jpg,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
191,191,002624.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
192,192,009730.jpg,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
193,193,009423.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
194,194,009595.jpg,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1
195,195,004538.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
196,196,005926.jpg,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
197,197,009826.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
198,198,004594.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
199,199,009096.jpg,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
200,200,002837.jpg,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1
201,201,005299.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
202,202,001562.jpg,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
203,203,005804.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
204,204,007393.jpg,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
205,205,000351.jpg,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
206,206,009934.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
207,207,004407.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,208,003156.jpg,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
209,209,008675.jpg,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
210,210,001961.jpg,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1
211,211,006169.jpg,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
212,212,001560.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
213,213,006870.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
214,214,000984.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
215,215,007858.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
216,216,004733.jpg,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0
217,217,006122.jpg,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
218,218,003931.jpg,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
219,219,008145.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
220,220,007988.jpg,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
221,221,002574.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
222,222,006646.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,223,006402.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
224,224,001065.jpg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
225,225,009697.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,226,005213.jpg,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
227,227,002832.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,228,005578.jpg,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
229,229,009030.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
230,230,001249.jpg,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
231,231,007660.jpg,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
232,232,004515.jpg,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1
233,233,006601.jpg,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
234,234,002964.jpg,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
235,235,005709.jpg,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0
236,236,003595.jpg,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
237,237,008528.jpg,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
238,238,001367.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
239,239,003659.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
240,240,004899.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
241,241,005916.jpg,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
242,242,007495.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
243,243,009640.jpg,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
244,244,000316.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
245,245,008684.jpg,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
246,246,009076.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
247,247,002414.jpg,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
248,248,002528.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
249,249,004892.jpg,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0
250,250,000532.jpg,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0
251,251,003457.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
252,252,005443.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
253,253,006992.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
254,254,001701.jpg,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
255,255,002246.jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
256,256,005711.jpg,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
257,257,007170.jpg,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
258,258,008864.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,259,007380.jpg,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1
260,260,001331.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
261,261,005240.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
262,262,003067.jpg,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
263,263,007067.jpg,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
264,264,008791.jpg,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
265,265,008649.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
266,266,009485.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,267,006054.jpg,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
268,268,004541.jpg,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,269,005572.jpg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
